id,timestamp,url,ACADEMIC_YEAR,ACCREDITING_AGENCY,ADDRESS_CITY,ADDRESS_PROVINCE,ADDRESS_STREET,ADMISSION_REQUIREMENTS,CODE,DEGREES,DIVISIONS,HISTORY,INSTITUTION_FUNDING,LANGUAGES,OFFICERS,OTHER_SITES,PERIODICALS,POST_CODE,STUDENT_BODY,SUBTITLE,TITLE,TUITION_FEES_NATIONAL,URL,WWW,STUDENTS_STATISTICS_YEAR,STUDENTS_TOTAL,NOTE,TUITION_FEES_INTENATIONAL
1,2026-01-01T18:55:16.441Z,https://www.whed.net/detail_institution.php?KDo2MF0sMyhVLTM8YApgCg==,September to June (September-January; January-June),Ministry of Education and Science of Ukraine (MON),Rivne,Rivne Region,"vul. Soborna, 11",Secondary school certificate (Atestat zrelosti); Certificate of Ukrainian Centre of Education Quality Evaluation,IAU-012557,"<div class=""dd""> <p class=""principal"">Dyplom Bakalavra</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Accountancy, Administration, Agricultural Engineering, Agronomy, Applied Mathematics, Aquaculture, Architecture, Archiving, Banking, Business Administration, Civil Engineering, Civil Security, Computer Engineering, Computer Science, Construction Engineering, Cultural Studies, Earth Sciences, Ecology, Economics, Electrical Engineering, Electronics and Automation, Environmental Engineering, Ergotherapy, Finance, Geography, Geology, Hotel and Restaurant, Human Resources, Hydraulic Engineering, Information Sciences, Information Technology, Insurance, International Business, International Economics, Journalism, Law, Library Science, Management, Marketing, Mass Communication, Mechanical Engineering, Mining Engineering, Natural Resources, Physical Therapy, Power Engineering, Psychology, Public Administration, Religious Studies, Road Transport, Software Engineering, Surveying and Mapping, Taxation, Tourism, Town Planning, Transport Engineering, Water Science</span></p> <hr> <p class=""principal"">Dyplom Magistra</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Accountancy, Administration, Agronomy, Applied Mathematics, Aquaculture, Architecture, Banking, Bridge Engineering, Business Administration, Business and Commerce, Business Computing, Chemistry, Civil Engineering, Civil Security, Computer Engineering, Computer Science, Construction Engineering, Ecology, Economics, Educational Administration, Educational Sciences, Electrical Engineering, Electronics and Automation, Energy Engineering, Environmental Engineering, Environmental Management, Ergotherapy, Finance, Forestry, Heating and Refrigeration, Human Resources, Hydraulic Engineering, Industrial and Production Economics, Industrial Engineering, Insurance, International Business, International Economics, Law, Management, Marketing, Mechanical Engineering, Mining Engineering, Natural Resources, Physical Therapy, Police Studies, Power Engineering, Public Administration, Real Estate, Road Transport, Social Sciences, Surveying and Mapping, Taxation, Teacher Training, Tourism, Town Planning, Transport Engineering, Water Management, Water Science</span></p> <hr> <p class=""principal"">Dyplom Doktora Filosofii</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Agronomy, Architecture, Business Administration, Civil Engineering, Computer Science, Construction Engineering, Economics, Ergotherapy, Law, Marketing, Mechanical Engineering, Physical Therapy, Town Planning</span></p> </div>","<div class=""dd""> <p class=""principal"">Institute : Agroecology and Land Management</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Agriculture, Aquaculture, Chemistry, Ecology, Environmental Management, Forestry, Hotel and Restaurant, Natural Resources, Physics, Real Estate, Soil Science, Surveying and Mapping, Tourism, Water Science</span></p> <hr> <p class=""principal"">Institute : Automation, Cybernetics and Computer Science</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Applied Mathematics, Computer Engineering, Computer Science, Electronic Engineering, Electronics and Automation, Mathematics</span></p> <hr> <p class=""principal"">Institute : Construction and Architecture</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Architectural and Environmental Design, Architecture, Building Technologies, Civil Engineering, Construction Engineering, Design, Graphic Design, Heating and Refrigeration, Industrial Engineering, Materials Engineering, Road Engineering, Safety Engineering, Sanitary Engineering, Structural Architecture, Town Planning, Water Science</span></p> <hr> <p class=""principal"">Institute : Economics and Management</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Accountancy, Administration, Business Administration, Business Computing, Documentation Techniques, Economics, Finance, Information Sciences, International Business, International Economics, Management, Marketing, Modern Languages, Natural Resources, Philosophy, Public Administration, Slavic Languages</span></p> <hr> <p class=""principal"">Institute : Extramural and Distance Learning</p> <hr> <p class=""principal"">Institute : Health</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Health Sciences, Physical Therapy, Psychology, Rehabilitation and Therapy</span></p> <hr> <p class=""principal"">Institute : Law</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Constitutional Law, International Law, Journalism, Law, Public Law</span></p> <hr> <p class=""principal"">Institute : Mechanics</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Automotive Engineering, Construction Engineering, Engineering Drawing and Design, Machine Building, Mechanical Engineering, Mechanics, Road Engineering, Transport Engineering</span></p> <hr> <p class=""principal"">Institute : Postgraduate Education</p> <hr> <p class=""principal"">Institute : Water Management and Nature Planning</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Geology, Hydraulic Engineering, Power Engineering, Water Management, Water Science</span></p> <hr> <p class=""principal"">Laboratory : Operational Reliability of Buildings and Structures</p> <hr> <p class=""principal"">Laboratory : Semiconductor Materials Research</p> </div>","Founded 1922 as Land-Improvement Technical School in Kyiv, reorganized 1992 as Ukrainian State Academy of Water Economy and Rivne State Technical University in 1997. Acquired present title 2002",Public,Ukrainian;English,"<div class=""dd""> <p class=""principal"">Head : Viktor Moshynskyi</p> <p><span class=""libelle"">Job title:</span><span class=""contenu"">Rector</span></p> <hr> <p class=""principal"">Senior Administrative Officer : Oleksandr Dmytrenko</p> <p><span class=""libelle"">Job title:</span><span class=""contenu"">Vice-rector for Scientific, Pedagogical, Economic and Administrative Affairs</span></p> <hr> <p class=""principal"">International Relations Officer : Nataliia Savina</p> <p><span class=""libelle"">Job title:</span><span class=""contenu"">Vice-rector for Research Work and International Relations</span></p> </div>","Also Technical, Autotransport Colleges for junior Specialists, College of Technology and Design and Kostopil Building-Technology College",Visnyk,33028,co-ed,Nacіonal’nii Unіversytet Vodnoho Hospodarstva ta PryrodokorystuvannjaNational University of Water Management and Nature Resources Use (NUWM),National University of Water and Environmental Engineering,"Preparatory foreign students, 1,031 per annum; Foreign students, 1,546 (USD)",https://www.whed.net/institutions/IAU-012557,https://nuwm.edu.ua/en,,,,
1,2026-01-01T18:55:16.441Z,https://www.whed.net/detail_institution.php?KDo2MF0sMyhVLTM8YApgCg==,,,,,,,,,,,,,,,Visnyk,,,,,,,,,,,
1,2026-01-01T18:55:16.441Z,https://www.whed.net/detail_institution.php?KDo2MF0sMyhVLTM8YApgCg==,,,,,,,,,,,,,,,Visnyk,,,,,,,,,,,
27,2026-01-01T18:55:18.742Z,https://www.whed.net/detail_institution.php?KDo2MF0sQzhXLjM0YApgCg==,,Ministry of Education and Science of Ukraine (MON),Nikopol,Dnipropetrovsk Region,"vul. Zaporiz’ka, 31",,IAU-026795,"<div class=""dd""> <p class=""principal"">Dyplom Bakalavra</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Accountancy, Banking, Behavioural Sciences, Finance, Insurance, Management, Marketing, Social Sciences, Taxation</span></p> <hr> <p class=""principal"">Dyplom Magistra</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Accountancy, Banking, Behavioural Sciences, Finance, Insurance, Management, Marketing, Social Sciences, Taxation</span></p> </div>","<div class=""dd""> <p class=""principal"">Department/Division : Accounting and Taxation</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Accountancy, Taxation</span></p> <hr> <p class=""principal"">Department/Division : Fundamental, Social and Behavioral Sciences</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Behavioural Sciences, Social Sciences</span></p> <hr> <p class=""principal"">Department/Division : Management</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Management</span></p> </div>",Founded 1993,Private,Ukrainian,"<div class=""dd""> <p class=""principal"">Head : Valerij Oleksijovyč Onyščuk</p> <p><span class=""libelle"">Job title:</span><span class=""contenu"">Rector</span></p> </div>",,,53211,,Nikopol’s’kyj ekonomičnyj universytet (NEU),Nikopol Economic University,,https://www.whed.net/institutions/IAU-026795,http://www.neu.edu.ua,,,,
53,2026-01-01T18:55:21.048Z,https://www.whed.net/detail_institution.php?KDo2MF0sMyhXLSMoYApgCg==,September to June (September-January; February- June),Ministry of Education and Science of Ukraine (MON),Nizhyn,Chernihiv Region,"vul. Hrafs’ka, 2",Secondary school certificate (Atestat zrelosti) and entrance examination,IAU-012742,"<div class=""dd""> <p class=""principal"">Dyplom Bakalavra</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Applied Physics, Archaeology, Biology, Chemistry, Computer Science, Dance, Earth Sciences, English, Geography, German, History, Information Technology, International Relations and Diplomacy, Journalism, Law, Linguistics, Literature, Mathematics, Music, Nursing, Physics, Political Sciences, Primary Education, Psychology, Public Relations, Regional Studies, Russian, Slavic Languages, Social Work, Translation and Interpretation</span></p> <hr> <p class=""principal"">Dyplom Magistra</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Applied Physics, Archaeology, Biology, Chemistry, Computer Science, Earth Sciences, Educational Administration, Educational Testing and Evaluation, English, Geography, German, History, Information Technology, Journalism, Law, Linguistics, Literature, Mathematics, Music, Nursing, Political Sciences, Psychology, Russian, Slavic Languages, Social Work, Translation and Interpretation</span></p> <hr> <p class=""principal"">Dyplom Doktora Filosofii</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Archaeology, Biology, Cultural Studies, Educational Sciences, History, Pedagogy, Philology, Political Sciences, Psychology</span></p> </div>","<div class=""dd""> <p class=""principal"">Faculty : Culture and Arts</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Dance, Music, Music Education, Performing Arts, Singing</span></p> <hr> <p class=""principal"">Faculty : Foreign Languages</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">English, Foreign Languages Education</span></p> <hr> <p class=""principal"">Faculty : History and Law</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">History, Law</span></p> <hr> <p class=""principal"">Faculty : Natural Science and Geography</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Biology, Chemistry, Economics, Geography, Information Sciences</span></p> <hr> <p class=""principal"">Faculty : Philology</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Philology</span></p> <hr> <p class=""principal"">Faculty : Psychology and Social Work</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Humanities and Social Science Education, Preschool Education, Psychology, Social Psychology, Social Work</span></p> <hr> <p class=""principal"">Institute : Exact Sciences and Economics</p> <p><span class=""libelle"">Fields of study:</span><span class=""contenu"">Economics, Mathematics and Computer Science</span></p> </div>","Founded 1820 as Gymnasia of High Sciences, reorganized as Nizhyn State Pedagogical Institute 1939, named after M.V. Gogol in 1998, became Nizhyn State Pedagogical University. Acquired present status and title 2004",Public,Ukrainian,"<div class=""dd""> <p class=""principal"">Head : Alexander Grigorovich Samoilenko</p> <p><span class=""libelle"">Job title:</span><span class=""contenu"">Rector</span></p> <hr> <p class=""principal"">Senior Administrative Officer : Oleksandr Dmitrievich Boyko</p> <p><span class=""libelle"">Job title:</span><span class=""contenu"">First Vice-Rector</span></p> <hr> <p class=""principal"">International Relations Officer : Alexander Vladimirovich Melnichuk</p> <p><span class=""libelle"">Job title:</span><span class=""contenu"">Vice-Rector for Research and International Relations</span></p> </div>",,Bulletin of students' Scientific Society,16600,co-ed,Nіžins’kij Deržavnij Unіversitet іmenі Mikoli GogoljaNizhyn State University named after Mykola Gogol (NSGU),Nizhyn Gogol State University,"Bachelor, 1,355-1,450 per annum; Master, 1,375-1,400 per annum (USD)",https://www.whed.net/institutions/IAU-012742,http://www.ndu.edu.ua,,,,
53,2026-01-01T18:55:21.048Z,https://www.whed.net/detail_institution.php?KDo2MF0sMyhXLSMoYApgCg==,,,,,,,,,,,,,,,Gogol Study School,,,,,,,,,,,
53,2026-01-01T18:55:21.048Z,https://www.whed.net/detail_institution.php?KDo2MF0sMyhXLSMoYApgCg==,,,,,,,,,,,,,,,Literature and Culture of Polissya,,,,,,,,,,,
53,2026-01-01T18:55:21.048Z,https://www.whed.net/detail_institution.php?KDo2MF0sMyhXLSMoYApgCg==,,,,,,,,,,,,,,,Physics and Mathematics Collection,,,,,,,,,,,
53,2026-01-01T18:55:21.048Z,https://www.whed.net/detail_institution.php?KDo2MF0sMyhXLSMoYApgCg==,,,,,,,,,,,,,,,Scientific Notes of Nizhyn Gogol State University,,,,,,,,,,,
53,2026-01-01T18:55:21.048Z,https://www.whed.net/detail_institution.php?KDo2MF0sMyhXLSMoYApgCg==,,,,,,,,,,,,,,,Ukrainian Dim,,,,,,,,,,,
53,2026-01-01T18:55:21.048Z,https://www.whed.net/detail_institution.php?KDo2MF0sMyhXLSMoYApgCg==,,,,,,,,,,,,,,,Ukrainian Vymir,,,,,,,,,,,
